          subj           cond           chan            win           mean
  Subjects2021        POSCONc             Cz     +310..+370    -1.2700e+00 16_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -1.3028e+00 16_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -3.2682e-01 16_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370    -2.1043e-02 16_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -1.7383e+00 17_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220     1.2502e+00 17_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370     6.2543e-01 17_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -2.0987e+00 17_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220     1.5946e+00 17_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370     4.1239e-01 17_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -2.4504e+00 17_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220     1.7568e+00 17_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370     1.4614e-01 17_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -1.7611e+00 17_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220     2.5972e+00 17_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370     7.8432e-01 17_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120     1.8846e+00 17_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220     2.4284e+00 17_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370     1.4222e+00 17_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -7.1958e+00 18_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220    -1.3470e+00 18_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370    -2.7419e+00 18_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -7.0184e+00 18_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220    -3.9084e-01 18_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370    -2.1327e+00 18_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -7.0036e+00 18_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220    -4.2515e-01 18_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370    -2.4007e+00 18_POSCONc.avr
