          subj           cond           chan            win           mean
  subject_avgs       TWthreec             Cz     +210..+290     1.6037e+00 27_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290     2.3446e+00 27_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     1.1088e+00 28_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290    -5.7832e-01 28_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -1.9511e+00 28_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     7.0615e-01 29_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290     1.1844e+00 29_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290     2.1699e-01 29_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     1.7240e+00 30_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290     9.6314e-01 30_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -6.4197e-01 30_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     1.6170e+00 31_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290     2.4827e+00 31_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -2.3857e-01 31_TWthreec.avr
  subject_avgs        TWfourc             Fz     +210..+290     4.1077e-01 04_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290     6.2519e-01 04_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290     7.1422e-01 04_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290     1.2358e+00 06_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290     2.2581e+00 06_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290     1.1812e+00 06_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290     3.3942e+00 07_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290     2.0360e+00 07_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -1.2023e+00 07_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290     4.3841e-01 08_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290     1.0267e+00 08_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -1.8856e+00 08_TWfourc.avr
  subject_avgs        TWfourc             Fz     +210..+290    -2.7306e+00 09_TWfourc.avr
  subject_avgs        TWfourc             Cz     +210..+290    -2.8900e+00 09_TWfourc.avr
  subject_avgs        TWfourc             Pz     +210..+290    -3.1030e+00 09_TWfourc.avr
