          subj           cond           chan            win           mean
  Subjects2021           YESc             Pz     +310..+370    -1.2447e+00    20_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -7.4211e+00    21_YESc.avr
  Subjects2021           YESc             Fz     +180..+220     1.4629e+00    21_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -5.6259e-01    21_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -8.9128e+00    21_YESc.avr
  Subjects2021           YESc             Cz     +180..+220    -3.7624e+00    21_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -1.4749e-01    21_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -7.5192e+00    21_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -5.7081e+00    21_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -2.3325e-01    21_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -1.7322e+00    22_YESc.avr
  Subjects2021           YESc             Fz     +180..+220     1.4342e-01    22_YESc.avr
  Subjects2021           YESc             Fz     +310..+370     7.8530e-01    22_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -1.7693e+00    22_YESc.avr
  Subjects2021           YESc             Cz     +180..+220    -1.4753e+00    22_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -4.9942e-01    22_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -1.9438e+00    22_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -4.0097e+00    22_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -1.7862e+00    22_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -8.7141e+00    23_YESc.avr
  Subjects2021           YESc             Fz     +180..+220     5.9654e-01    23_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -6.9593e-01    23_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -7.2985e+00    23_YESc.avr
  Subjects2021           YESc             Cz     +180..+220     3.7920e-01    23_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -1.0592e+00    23_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -5.0806e+00    23_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -1.7456e+00    23_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -1.4151e+00    23_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -4.0554e+00    24_YESc.avr
  Subjects2021           YESc             Fz     +180..+220    -1.2019e+00    24_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -3.3935e-01    24_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -5.1844e+00    24_YESc.avr
  Subjects2021           YESc             Cz     +180..+220    -2.7414e+00    24_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -2.1535e+00    24_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -5.8585e+00    24_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -4.8367e+00    24_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -3.4660e+00    24_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -5.2981e+00    25_YESc.avr
  Subjects2021           YESc             Fz     +180..+220    -2.2823e+00    25_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -5.8325e-01    25_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -4.6419e+00    25_YESc.avr
  Subjects2021           YESc             Cz     +180..+220    -1.9176e+00    25_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -2.5182e-01    25_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -3.6979e+00    25_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -1.7001e+00    25_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -1.5450e-01    25_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -7.1323e+00    26_YESc.avr
