          subj           cond           chan            win           mean
  Subjects2021         TWonec             T8     +310..+370    -3.4984e-01  12_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120    -1.1614e+01  12_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220    -7.6810e+00  12_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370     3.2292e-01  12_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120    -2.5110e-01  12_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220    -8.5412e-01  12_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370    -7.7719e-02  12_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120     2.8683e-01  12_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220    -2.0988e+00  12_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370    -6.0475e-01  12_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -2.3164e+00  13_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -2.9371e+00  13_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370    -3.7287e+00  13_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120    -1.2191e+00  13_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220    -4.6337e-01  13_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370     5.2738e-03  13_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120    -2.7142e+00  13_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220    -5.4181e-01  13_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370    -2.6639e+00  13_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120    -3.0899e+00  13_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220     2.6041e-01  13_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370    -7.1258e-01  13_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120    -8.3718e-01  13_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220    -4.7103e+00  13_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370     2.0541e-01  13_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120     8.5272e-01  13_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220    -3.3610e-01  13_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370     5.0541e-01  13_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120     9.1868e-01  13_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220    -3.4985e-01  13_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370    -1.7174e-01  13_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -6.0187e+00  14_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -3.3061e+00  14_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370    -7.5677e-01  14_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120     2.3903e+00  14_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220     1.0615e+00  14_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370     3.4998e-01  14_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120    -5.5226e+00  14_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220    -3.8960e+00  14_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370     7.1129e-01  14_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120    -1.6772e+00  14_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220    -2.3612e+00  14_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370     1.1646e+00  14_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120    -6.0786e+00  14_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220    -6.9697e+00  14_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370     1.3334e+00  14_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120     2.7435e+00  14_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220     2.1172e-01  14_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370     2.9975e-01  14_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120     1.2283e+00  14_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220    -5.5232e-01  14_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370     5.3997e-01  14_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -1.1833e+00  16_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -3.8133e+00  16_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370     1.9381e+00  16_TWonec.avr
